"","SYMBOL","ENTREZID","ENSEMBL"
"340","RPS2","6187","ENSG00000140988"
"341","RPS4X","6191","ENSG00000198034"
"342","SCD","6319","ENSG00000099194"
"343","SFRP2","6423","ENSG00000145423"
"344","SRSF7","6432","ENSG00000115875"
"345","SLC2A1","6513","ENSG00000117394"
"346","SNAI1","6615","ENSG00000124216"
"347","SP1","6667","ENSG00000185591"
"348","SRPK1","6732","ENSG00000096063"
"349","STX4","6810","ENSG00000103496"
"350","TBX3","6926","ENSG00000135111"
"351","TCF7","6932","ENSG00000081059"
"352","TFRC","7037","ENSG00000072274"
"353","TGFB1","7040","ENSG00000105329"
"354","TIAM1","7074","ENSG00000156299"
"355","TPD52L2","7165","ENSG00000101150"
"356","VSNL1","7447","ENSG00000163032"
"357","WNT1","7471","ENSG00000125084"
"358","ZNF217","7764","ENSG00000171940"
"359","ALMS1","7840","ENSG00000116127"
"360","NUP214","8021","ENSG00000126883"
"361","NCOA1","8648","ENSG00000084676"
"362","TNFRSF10D","8793","ENSG00000173530"
"363","FUBP1","8880","ENSG00000162613"
"364","VAPB","9217","ENSG00000124164"
"365","TCEAL1","9338","ENSG00000172465"
"366","RBM39","9584","ENSG00000131051"
"367","ZNF646","9726","ENSG00000167395"
"368","IFT140","9742","ENSG00000187535"
"369","HDAC4","9759","ENSG00000068024"
"370","HDAC6","10013","ENSG00000094631"
"371","ARPC5","10092","ENSG00000162704"
"372","NET1","10276","ENSG00000173848"
"373","BTN3A3","10384","ENSG00000111801"
"374","EFR3B","22979","ENSG00000084710"
"375","PHF8","23133","ENSG00000172943"
"376","RCOR1","23186","ENSG00000089902"
"377","TBC1D12","23232","ENSG00000108239"
"378","WWC1","23286","ENSG00000113645"
"379","FRAT2","23401","ENSG00000181274"
"380","SIRT1","23411","ENSG00000096717"
"381","TTC33","23548","ENSG00000113638"
"382","ELP5","23587","ENSG00000170291"
"383","ELP5","23587","ENSG00000288485"
"384","LEMD3","23592","ENSG00000174106"
"385","SERBP1","26135","ENSG00000142864"
"386","TRAF3IP1","26146","ENSG00000204104"
"387","MYCBP","26292","ENSG00000214114"
"388","FOXP1","27086","ENSG00000114861"
"389","EEF2K","29904","ENSG00000103319"
"390","EEF2K","29904","ENSG00000284161"
"391","PIGP","51227","ENSG00000185808"
"392","GINS2","51659","ENSG00000131153"
"393","CYCS","54205","ENSG00000172115"
"394","DDIT4","54541","ENSG00000168209"
"395","TET2","54790","ENSG00000168769"
"396","DCAF16","54876","ENSG00000163257"
"397","LRRC20","55222","ENSG00000172731"
"398","LRRC1","55227","ENSG00000137269"
"399","MIS18BP1","55320","ENSG00000129534"
"400","LIN7C","55327","ENSG00000148943"
"401","CAMK2N1","55450","ENSG00000162545"
"402","KDM3A","55818","ENSG00000115548"
"403","RCC2","55920","ENSG00000179051"
"404","RCC2","55920","ENSG00000281540"
"405","ZMAT5","55954","ENSG00000100319"
"407","GSDMD","79792","ENSG00000104518"
"408","GSDMD","79792","ENSG00000278718"
"409","EDC3","80153","ENSG00000179151"
"410","CTC1","80169","ENSG00000178971"
"411","CHD9","80205","ENSG00000177200"
"412","SPG11","80208","ENSG00000104133"
"413","ZFP91","80829","ENSG00000186660"
"414","CLPTM1L","81037","ENSG00000049656"
"415","CLPTM1L","81037","ENSG00000274811"
"416","TSC22D4","81628","ENSG00000166925"
"417","LONP2","83752","ENSG00000102910"
"418","KCTD10","83892","ENSG00000110906"
"419","ARID5B","84159","ENSG00000150347"
"420","GLIS2","84662","ENSG00000126603"
"421","GLIS2","84662","ENSG00000274636"
"422","SFXN1","94081","ENSG00000164466"
"423","NLRP3","114548","ENSG00000162711"
"424","VASN","114990","ENSG00000168140"
"425","VASN","114990","ENSG00000274334"
"426","KCTD12","115207","ENSG00000178695"
"427","C15orf40","123207","ENSG00000169609"
"428","C1orf87","127795","ENSG00000162598"
"429","ACVR1C","130399","ENSG00000123612"
"430","C5orf24","134553","ENSG00000181904"
"431","SOGA1","140710","ENSG00000149639"
"432","DNHD1","144132","ENSG00000179532"
"433","TMEM120B","144404","ENSG00000188735"
"434","PDIK1L","149420","ENSG00000175087"
"435","PRELID2","153768","ENSG00000186314"
"436","HNRNPA3","220988","ENSG00000170144"
"437","BRWD3","254065","ENSG00000165288"
"438","H19","283120","ENSG00000130600"
"439","H19","283120","ENSG00000288237"
"440","NEAT1","283131","ENSG00000245532"
"441","MALAT1","378938","ENSG00000251562"
"442","ZNF662","389114","ENSG00000182983"
"443","RAB44","401258","ENSG00000255587"
"444","TMEM178B","100507421","ENSG00000261115"
"445","SARAF","51669","ENSG00000133872"
"446","EIF4A1","1973","ENSG00000161960"
"447","HNRNPA1","3178","ENSG00000135486"
"448","MT1E","4493","ENSG00000169715"
"449","MT2A","4502","ENSG00000125148"
"450","MYO10","4651","ENSG00000145555"
"451","PRKAA1","5562","ENSG00000132356"
"452","RORA","6095","ENSG00000069667"
"453","YY1","7528","ENSG00000100811"
"454","VEZF1","7716","ENSG00000136451"
"455","ARID1A","8289","ENSG00000117713"
"456","CUL3","8452","ENSG00000036257"
"457","SMC3","9126","ENSG00000108055"
"458","NREP","9315","ENSG00000134986"
"460","PCGF3","10336","ENSG00000185619"
"461","DDX17","10521","ENSG00000100201"
"462","ANP32B","10541","ENSG00000136938"
"463","MTF2","22823","ENSG00000143033"
"464","UBBP4","23666","ENSG00000263563"
"465","FLVCR1","28982","ENSG00000162769"
"466","F11R","50848","ENSG00000158769"
"467","LIMA1","51474","ENSG00000050405"
"469","STRBP","55342","ENSG00000165209"
"470","NHSL1","57224","ENSG00000135540"
"471","COG6","57511","ENSG00000133103"
"472","AFAP1","60312","ENSG00000196526"
"473","QSER1","79832","ENSG00000060749"
"474","MED10","84246","ENSG00000133398"
"475","LCOR","84458","ENSG00000196233"
